type,epoch,loss,loss_ft,rel_change,lr
train,1,2.5212876661768497,2.3910937955116003,-0.05163784855326275,2.9919137466307274e-05
val,1,2.791213943408086,2.474580330726428,-0.11343939199982879,2.9919137466307274e-05
train,2,2.5432146141792566,2.2282595762987985,-0.12384131332231281,5.991913746630727e-05
val,2,2.781310194577926,2.3851790794959435,-0.14242608244640506,5.991913746630727e-05
train,3,2.523685869180931,2.161620287239712,-0.1434669767591671,8.991913746630726e-05
val,3,2.8059541017581253,2.365458464011168,-0.1569860453066414,8.991913746630726e-05
train,4,2.538036955656067,2.147855067188849,-0.15373373015617042,0.00011991913746630727
val,4,2.8035693566004434,2.343799753066821,-0.1639943746892463,0.00011991913746630727
train,5,2.5364677083460148,2.1316463436399187,-0.1596004409494623,0.00014991913746630726
val,5,2.7912794779508543,2.311361034711202,-0.17193493056881995,0.00014991913746630726
train,6,2.561404217928246,2.1339283767093544,-0.16689120687270875,0.00017991913746630728
val,6,2.7933150071364183,2.2853559316732945,-0.1818481174394508,0.00017991913746630728
train,7,2.539878923295322,2.1026158596306157,-0.17215901894149613,0.00020991913746630725
val,7,2.7920216566477065,2.2813491760156093,-0.18290419754309706,0.00020991913746630725
train,8,2.518165939580398,2.0720160007476807,-0.17717257303029815,0.00023991913746630725
val,8,2.807388736651494,2.2810952816254053,-0.18746725316488372,0.00023991913746630725
train,9,2.554570355826632,2.0954957805232537,-0.17970715672648865,0.00026991913746630725
val,9,2.813534568517636,2.2890873750050864,-0.18640154607692075,0.00026991913746630725
train,10,2.548987877336795,2.0816525956691114,-0.18334150814242384,0.0002999191374663072
val,10,2.8022169149838962,2.2633008315013003,-0.19231776119861618,0.0002999191374663072
train,11,2.526236674534985,2.060649384385492,-0.1843007406403027,0.0002999182043388158
val,11,2.77782120460119,2.2338600892287035,-0.19582294010552875,0.0002999182043388158
train,12,2.5603852914671372,2.086317063984524,-0.18515503469829936,0.00029967203222574607
val,12,2.8020765078373446,2.2507473536026783,-0.19675735216101742,0.00029967203222574607
train,13,2.5596079575726285,2.0770036065674855,-0.18854619887289875,0.0002992617829860455
val,13,2.8296168736922436,2.266302023178492,-0.19907813518891926,0.0002992617829860455
train,14,2.5571252142965313,2.074376785851553,-0.18878560414093093,0.0002986879564452187
