type,epoch,loss,loss_lora,rel_change,lr
train,1,2.567387529139249,4.53984929673434,0.7682758232670799,2.9919137466307274e-05
val,1,2.7949505127393284,3.1599002251258264,0.13057465980991953,2.9919137466307274e-05
train,2,2.5508710586157126,3.557479347501482,0.3946135519025521,5.991913746630727e-05
val,2,2.807078074186276,3.416545060964731,0.21711793212418196,5.991913746630727e-05
train,3,2.539135309242495,3.5841328512947515,0.41155646107099836,8.991913746630726e-05
val,3,2.790940834925725,3.9087498371417704,0.4005133280604974,8.991913746630726e-05
train,4,2.5291539234613793,3.44808273559632,0.3633344746678377,0.00011991913746630727
val,4,2.8107777344874845,3.1376203206869273,0.11628190382653615,0.00011991913746630727
train,5,2.5858822749310106,2.821253684331786,0.09102170337860985,0.00014991913746630726
val,5,2.7990905321561375,3.023191057718717,0.08006190689014805,0.00014991913746630726
train,6,2.5336214307183527,nan,nan,0.00017991913746630728
val,6,2.8029498350925937,nan,nan,0.00017991913746630728
train,7,2.5400728713470007,nan,nan,0.00020991913746630725
val,7,2.817028760910034,nan,nan,0.00020991913746630725
train,8,2.5390048104155096,nan,nan,0.00023991913746630725
val,8,2.7871573521540713,nan,nan,0.00023991913746630725
train,9,2.5941536291590275,nan,nan,0.00026991913746630725
val,9,2.7844139826603427,nan,nan,0.00026991913746630725
train,10,2.5918243631841036,nan,nan,0.0002999191374663072
val,10,2.7856628619707546,nan,nan,0.0002999191374663072
train,11,2.54046617845962,nan,nan,0.0002999182043388158
val,11,2.7898104710456653,nan,nan,0.0002999182043388158
train,12,2.5221177011808615,nan,nan,0.00029967203222574607
val,12,2.7858594289192786,nan,nan,0.00029967203222574607
train,13,2.5388750262016235,nan,nan,0.0002992617829860455
val,13,2.8050393599730272,nan,nan,0.0002992617829860455
train,14,2.5478278173590607,nan,nan,0.0002986879564452187
val,14,2.8187429201908603,nan,nan,0.0002986879564452187
train,15,2.588241821029437,nan,nan,0.00029795125172251444
val,15,2.7971306152832813,nan,nan,0.00029795125172251444
train,16,2.5551499031946023,nan,nan,0.00029705256637915664
val,16,2.784082904840127,nan,nan,0.00029705256637915664
train,17,2.5437188360568967,nan,nan,0.00029599299532480437
val,17,2.803500438347841,nan,nan,0.00029599299532480437
train,18,2.549412888015377,nan,nan,0.00029477382948357294
val,18,2.8145151077172694,nan,nan,0.00029477382948357294
train,19,2.5708902200277284,nan,nan,0.00029339655422124173
val,19,2.7898692045456324,nan,nan,0.00029339655422124173
train,20,2.5258427694480052,nan,nan,0.00029186284753556494
val,20,2.7893062432607016,nan,nan,0.00029186284753556494
train,21,2.5443926940388435,nan,nan,0.00029017457801188963
val,21,2.8095919352311354,nan,nan,0.00029017457801188963
train,22,2.5625647672745737,nan,nan,0.0002883338025465725
val,22,2.8036669125923743,nan,nan,0.0002883338025465725
train,23,2.544465535413223,nan,nan,0.00028634276384096826
val,23,2.7902423663017077,nan,nan,0.00028634276384096826
train,24,2.546229295974793,nan,nan,0.00028420388766904365
val,24,2.7901621842995667,nan,nan,0.00028420388766904365
train,25,2.560604746129635,nan,nan,0.0002819197799219456
val,25,2.800127047758836,nan,nan,0.0002819197799219456
train,26,2.542261511810385,nan,nan,0.0002794932234331241
val,26,2.772700942479647,nan,nan,0.0002794932234331241
train,27,2.543545861128527,nan,nan,0.00027692717458787844
val,27,2.774065625973237,nan,nan,0.00027692717458787844
train,28,2.5650111565371407,nan,nan,0.00027422475972145696
val,28,2.82271168476496,nan,nan,0.00027422475972145696
train,29,2.541545092256243,nan,nan,0.00027138927131009936
val,29,2.8043761467322326,nan,nan,0.00027138927131009936
train,30,2.549292225722033,nan,nan,0.0002684241639596613
val,30,2.786979079246521,nan,nan,0.0002684241639596613
train,31,2.5506864876117348,nan,nan,0.0002653330501967096
val,31,2.82023693048037,nan,nan,0.0002653330501967096
train,32,2.531541014617344,nan,nan,0.00026211969606721483
val,32,2.79041150594369,nan,nan,0.00026211969606721483
train,33,2.5373280504643114,nan,nan,0.0002587880165482045
val,33,2.8261217245688806,nan,nan,0.0002587880165482045
train,34,2.529312722445177,nan,nan,0.00025534207077796653
val,34,2.798502961794535,nan,nan,0.00025534207077796653
train,35,2.5603276118435305,nan,nan,0.0002517860571106149
val,35,2.8004545340171227,nan,nan,0.0002517860571106149
train,36,2.545571745887921,nan,nan,0.0002481243080010413
val,36,2.787261901757656,nan,nan,0.0002481243080010413
train,37,2.5547497076486962,nan,nan,0.00024436128472648643
val,37,2.819309738966135,nan,nan,0.00024436128472648643
train,38,2.5331108534753803,nan,nan,0.00024050157195116108
val,38,2.810519291804387,nan,nan,0.00024050157195116108
train,39,2.566113693052225,nan,nan,0.00023654987214053892
val,39,2.8045826844680004,nan,nan,0.00023654987214053892
train,40,2.5124328615209164,nan,nan,0.00023251099983212636
val,40,2.7914701516811666,nan,nan,0.00023251099983212636
train,41,2.5248939206979344,nan,nan,0.0002283898757696907
val,41,2.819300819665958,nan,nan,0.0002283898757696907
train,42,2.5290407726385524,nan,nan,0.00022419152090809148
val,42,2.8122761983137865,nan,nan,0.00022419152090809148
train,43,2.545754606511715,nan,nan,0.0002199210502960206
val,43,2.785472720097273,nan,nan,0.0002199210502960206
train,44,2.5471834496989083,nan,nan,0.00021558366684410325
val,44,2.798225231659718,nan,nan,0.00021558366684410325
train,45,2.5499945413070226,nan,nan,0.00021118465498595293
val,45,2.822740450883523,nan,nan,0.00021118465498595293
train,46,2.5394404448588905,nan,nan,0.00020672937423990293
val,46,2.8066701277708397,nan,nan,0.00020672937423990293
train,47,2.517527272116463,nan,nan,0.00020222325267925896
val,47,2.7971574709965634,nan,nan,0.00020222325267925896
train,48,2.528448547314441,nan,nan,0.00019767178031902786
val,48,2.8140336030568833,nan,nan,0.00019767178031902786
train,49,2.532180407619219,nan,nan,0.00019308050242717995
val,49,2.8259831758645864,nan,nan,0.00019308050242717995
train,50,2.5412577808385266,nan,nan,0.00018845501276859437
val,50,2.800151418416928,nan,nan,0.00018845501276859437
train,51,2.5703851646490175,nan,nan,0.00018380094678991797
val,51,2.789681138136448,nan,nan,0.00018380094678991797
train,52,2.509302086264618,nan,nan,0.0001791239747536419
val,52,2.7925987793849063,nan,nan,0.0001791239747536419
train,53,2.5483730655474806,nan,nan,0.0001744297948297601
val,53,2.792565101232284,nan,nan,0.0001744297948297601
