type,epoch,loss,loss_lora,rel_change,lr
train,1,2.552470917971629,3.262551150231991,0.2781932703956687,2.9919137466307274e-05
val,1,2.7949505127393284,2.4028355066592875,-0.14029407830041662,2.9919137466307274e-05
train,2,2.5530164441008454,2.1808993128753413,-0.14575586933070503,5.991913746630727e-05
val,2,2.807078074186276,2.3360842221822495,-0.16778794160919785,5.991913746630727e-05
train,3,2.5621689975743664,2.142964615012115,-0.16361308834784777,8.991913746630726e-05
val,3,2.790940834925725,2.2937965240233984,-0.1781278573451225,8.991913746630726e-05
train,4,2.5658147845949446,2.1283713788035103,-0.1704890814480562,0.00011991913746630727
val,4,2.8107777344874845,2.3044457863538694,-0.1801394474991952,0.00011991913746630727
train,5,2.543115727663683,2.106248062575924,-0.17178442189459536,0.00014991913746630726
val,5,2.7990905321561375,2.2801866959302854,-0.18538301289817188,0.00014991913746630726
train,6,2.5279446541459736,2.0909026816206158,-0.1728843120867318,0.00017991913746630728
val,6,2.8029498350925937,2.2756136716940465,-0.1881361402891918,0.00017991913746630728
train,7,2.5675697509811894,2.1237073966435025,-0.1728725594185187,0.00020991913746630725
val,7,2.817028760910034,2.2949971082883005,-0.18531285866357028,0.00020991913746630725
train,8,2.5667845033249765,2.122560474750488,-0.17306635130415007,0.00023991913746630725
val,8,2.7871573521540713,2.2755178946715136,-0.18357035245503242,0.00023991913746630725
train,9,2.5513526773195703,2.111432176394604,-0.17242637791147833,0.00026991913746630725
val,9,2.7844139826603427,2.2782455315956702,-0.18178634865964094,0.00026991913746630725
train,10,2.5657846278578766,2.123595283359209,-0.17234078795921504,0.0002999191374663072
val,10,2.7856628619707546,2.2809708332404113,-0.18117484194526404,0.0002999191374663072
train,11,2.5332402508213834,2.0962032661283754,-0.17252093817445943,0.0002999182043388158
val,11,2.7898104710456653,2.283484251071245,-0.1814912608685711,0.0002999182043388158
train,12,2.5313871424153165,2.0907695730420137,-0.17406170790331527,0.00029967203222574607
val,12,2.7858594289192786,2.274311524171096,-0.18362301393887204,0.00029967203222574607
train,13,2.5758163405235885,2.126513474392441,-0.17443125080875035,0.0002992617829860455
val,13,2.8050393599730272,2.2854801324697642,-0.18522350699145235,0.0002992617829860455
train,14,2.5799618570631084,2.1242421431682823,-0.17663815945464917,0.0002986879564452187
val,14,2.8187429201908603,2.292618167706025,-0.18665226570190752,0.0002986879564452187
train,15,2.5522548496883832,2.0952368303129294,-0.17906441413217544,0.00029795125172251444
val,15,2.7971306152832813,2.2746626688883853,-0.18678711088433841,0.00029795125172251444
train,16,2.551560972900082,2.092776944373817,-0.17980523820475866,0.00029705256637915664
val,16,2.784082904840127,2.2488078520848203,-0.19226261251945165,0.00029705256637915664
train,17,2.54557585041478,2.083904382353523,-0.18136229096690692,0.00029599299532480437
val,17,2.803500438347841,2.255288527562068,-0.19554550564252635,0.00029599299532480437
train,18,2.5363624253362977,2.0761429787967405,-0.1814486139450424,0.00029477382948357294
val,18,2.8145151077172694,2.280103808794266,-0.18987686278807753,0.00029477382948357294
train,19,2.5324807947858003,2.071501777499834,-0.1820266586957302,0.00029339655422124173
val,19,2.7898692045456324,2.2512509180949283,-0.19306220003902488,0.00029339655422124173
train,20,2.5307041531945815,2.0712764002884816,-0.18154147031613746,0.00029186284753556494
val,20,2.7893062432607016,2.2586937653712735,-0.19023098635062088,0.00029186284753556494
train,21,2.543522460120065,2.0759890831384378,-0.18381334716405753,0.00029017457801188963
val,21,2.8095919352311354,2.258694593723004,-0.19607735009490307,0.00029017457801188963
train,22,2.5109327507790207,2.050230796446376,-0.18347841223135555,0.0002883338025465725
val,22,2.8036669125923743,2.258713104786017,-0.1943718083481154,0.0002883338025465725
train,23,2.5710608563975823,2.094713416382309,-0.18527272072536738,0.00028634276384096826
val,23,2.8224239899561954,2.2733614108501334,-0.19453582490084473,0.00028634276384096826
train,24,2.538935807194671,2.066569868766394,-0.18604879142265723,0.00028420388766904365
val,24,2.8168389674944754,2.2679822200383897,-0.1948484644630869,0.00028420388766904365
train,25,2.51313943265262,2.046189855051169,-0.18580329110851823,0.0002819197799219456
val,25,2.8082714814406176,2.2549517185260086,-0.19703214827035204,0.0002819197799219456
train,26,2.5527283123561313,2.079777362854333,-0.1852727323987219,0.0002794932234331241
val,26,2.7929381346091247,2.2458134369972425,-0.19589574535579643,0.0002794932234331241
train,27,2.568294201257094,2.0898169690386625,-0.18630156622408478,0.00027692717458787844
val,27,2.780756268745814,2.2379040748645096,-0.19521746655133615,0.00027692717458787844
train,28,2.5524193745739057,2.073447526947186,-0.1876540557551119,0.00027422475972145696
val,28,2.780349386044038,2.2356881759105582,-0.19589667862154528,0.00027422475972145696
train,29,2.550004649355084,2.071285551127719,-0.18773263740849908,0.00027138927131009936
val,29,2.8035145845168676,2.2557549568322988,-0.19538319176569036,0.00027138927131009936
train,30,2.5360713046837366,2.0584255749324583,-0.18834081236956532,0.0002684241639596613
val,30,2.830231635998457,2.2765918236512404,-0.1956164312861629,0.0002684241639596613
train,31,2.5565452771688086,2.073834045717337,-0.18881387932469543,0.0002653330501967096
val,31,2.811122790361062,2.2552792261808348,-0.1977300906549281,0.0002653330501967096
train,32,2.551731009367663,2.067171116080888,-0.1898945819555064,0.00026211969606721483
val,32,2.8103543367141333,2.255291889875363,-0.19750621463902288,0.00026211969606721483
train,33,2.5216960727043873,2.041992480221463,-0.19023053478782923,0.0002587880165482045
val,33,2.8106062565094385,2.2629005908966064,-0.19487100491017953,0.0002587880165482045
train,34,2.542189723076525,2.05647310028179,-0.1910623028587052,0.00025534207077796653
val,34,2.7831395192024035,2.2290970912346473,-0.19907102182449501,0.00025534207077796653
train,35,2.544165745257046,2.057085774336864,-0.19144977949185096,0.0002517860571106149
val,35,2.803806097079546,2.246926393264379,-0.19861562623578527,0.0002517860571106149
train,36,2.530653710956522,2.0429654802594865,-0.19271235277492865,0.0002481243080010413
val,36,2.7923829158147178,2.233476745776641,-0.20015384239485937,0.0002481243080010413
train,37,2.5209797138795054,2.03724801476111,-0.1918824243032033,0.00024436128472648643
val,37,2.8126815129549074,2.2458736957647862,-0.20151866273499705,0.00024436128472648643
train,38,2.50722299656778,2.020975518098096,-0.19393866406591043,0.00024050157195116108
val,38,2.799843219610361,2.24421956600287,-0.1984481308509889,0.00024050157195116108
train,39,2.549697315596506,2.058093920550899,-0.1928085314435041,0.00023654987214053892
val,39,2.7975282791333322,2.2322950791089964,-0.20204735882042407,0.00023654987214053892
train,40,2.5310400656934053,2.044459663954064,-0.1922452387595996,0.00023251099983212636
val,40,2.7800690547013893,2.2224135246032324,-0.20059053179096495,0.00023251099983212636
train,41,2.546589354620468,2.0516541556849313,-0.19435218247399755,0.0002283898757696907
val,41,2.8039741118748984,2.236776578120696,-0.20228344168803378,0.0002283898757696907
train,42,2.535449186104006,2.0405996687650036,-0.19517232688042643,0.00022419152090809148
val,42,2.81890279513139,2.25473983776875,-0.20013565502755978,0.00022419152090809148
train,43,2.5487833511475926,2.0528106268525446,-0.19459195073278227,0.0002199210502960206
val,43,2.797732811707717,2.233632341409341,-0.20162771367507856,0.0002199210502960206
train,44,2.5401717899944583,2.044976349789499,-0.1949456498003388,0.00021558366684410325
val,44,2.773982582948147,2.2178540596595178,-0.20048017846513805,0.00021558366684410325
train,45,2.5199743843464195,2.0241929128806224,-0.196740679010665,0.00021118465498595293
val,45,2.8052474474295592,2.2380430606695323,-0.20219406572484536,0.00021118465498595293
train,46,2.530944744210359,2.035161134689002,-0.19588875286806728,0.00020672937423990293
val,46,2.808899414845002,2.229354344881498,-0.20632460774515993,0.00020672937423990293
train,47,2.5368106214184003,2.0361308402449616,-0.19736584865507026,0.00020222325267925896
val,47,2.803009574229901,2.235964435797471,-0.20229868054882397,0.00020222325267925896
train,48,2.53011140733395,2.0316990013071146,-0.19699227653853654,0.00019767178031902786
val,48,2.8057297254220033,2.235417032853151,-0.2032671527130337,0.00019767178031902786
train,49,2.5330924129871666,2.0308086958856917,-0.1982887456163328,0.00019308050242717995
val,49,2.781457842924656,2.2181409750229273,-0.20252576156588822,0.00019308050242717995
train,50,2.560306719049932,2.0510178200318165,-0.1989171434925188,0.00018845501276859437
val,50,2.795348347761692,2.2269508135624423,-0.20333692387726218,0.00018845501276859437
train,51,2.545485007795041,2.0400032360920046,-0.19857974812465953,0.00018380094678991797
val,51,2.801995494426825,2.2279999592365365,-0.20485241190857262,0.00018380094678991797
train,52,2.5291003261936322,2.026859104151353,-0.1985849342711393,0.0001791239747536419
val,52,2.7873038939940624,2.2014637757570314,-0.21018164524484353,0.0001791239747536419
train,53,2.5494362096580856,2.038979214478053,-0.20022348205703563,0.0001744297948297601
val,53,2.8097802125490627,2.2326399913200965,-0.20540404500371168,0.0001744297948297601
train,54,2.5659994580996326,2.056055263367625,-0.19873121684510026,0.0001697241261534267
val,54,2.822965545532031,2.245926465743627,-0.20440882840447566,0.0001697241261534267
train,55,2.5470570621464774,2.0343132664893835,-0.20130832688333655,0.0001650127018570712
val,55,2.818234165509542,2.231236546467512,-0.20828560884893665,0.0001650127018570712
train,56,2.5395134770966603,2.029077765755255,-0.20099744141738887,0.0001603012620854595
val,56,2.824219266573588,2.2351552920463758,-0.20857586431023786,0.0001603012620854595
train,57,2.5292573527827096,2.0206423923975696,-0.20109260919042407,0.0001555955470022115
val,57,2.781395523976057,2.2123786761210513,-0.20457962305252633,0.0001555955470022115
train,58,2.5468954744364694,2.035751129096409,-0.20069309890040032,0.00015090128979629644
val,58,2.812371308986957,2.232978573212257,-0.20601573267485898,0.00015090128979629644
train,59,2.5256205475876596,2.0162893013170144,-0.2016657833882179,0.00014622420969702475
val,59,2.8030166839941955,2.2176959942548704,-0.20881812551513773,0.00014622420969702475
train,60,2.5680535067766503,2.0484736563381802,-0.20232438657036875,0.0001415700050060484
val,60,2.7978577399865174,2.206601408811716,-0.21132465840727505,0.0001415700050060484
train,61,2.5492592702978705,2.030571264398066,-0.20346616444360252,0.00013694434615485818
val,61,2.824611009695591,2.2330560775903554,-0.20942881340995254,0.00013694434615485818
train,62,2.5623232180860165,2.0431218539286817,-0.20262914549287955,0.0001323528687962361
val,62,2.8019557824501624,2.219472888188484,-0.20788439914363233,0.0001323528687962361
train,63,2.54068029023245,2.02619579667351,-0.2024987148272282,0.00012780116693808071
val,63,2.8382700039790225,2.245358549631559,-0.20889889035090045,0.00012780116693808071
train,64,2.595472832574356,2.0676315103901044,-0.20337000470958694,0.00012329478612797034
val,64,2.816617311575474,2.2252567945382533,-0.2099541583469297,0.00012329478612797034
train,65,2.557715046437924,2.0336197023443137,-0.20490763614324708,0.00011883921669676732
val,65,2.8080301773853793,2.223660661624028,-0.20810656540218198,0.00011883921669676732
train,66,2.569237491191237,2.046041101458259,-0.20363878058248164,0.00011443988706949565
val,66,2.8111858062255077,2.2204109919376864,-0.2101514645455031,0.00011443988706949565
