type,epoch,loss,loss_lora,rel_change,lr
train,1,2.5311980832297847,2.960212109866489,0.16949049917471753,2.9919137466307274e-05
val,1,2.7949505127393284,2.4894273158831473,-0.10931256044198727,2.9919137466307274e-05
train,2,2.563894448897267,2.2728864500786097,-0.11350233194811117,5.991913746630727e-05
val,2,2.807078074186276,2.41881700968131,-0.13831502161460757,5.991913746630727e-05
train,3,2.5370238007239574,2.1936634370901515,-0.13533982753170293,8.991913746630726e-05
val,3,2.790940834925725,2.3765234733239198,-0.1484866165616277,8.991913746630726e-05
train,4,2.5552356725111807,2.1930487959211407,-0.14174304174225058,0.00011991913746630727
val,4,2.8107777344874845,2.381691037080227,-0.1526576406744936,0.00011991913746630727
train,5,2.5445064788237417,2.1699887343815396,-0.14718679145015648,0.00014991913746630726
val,5,2.7990905321561375,2.348186046649248,-0.16108963976937107,0.00014991913746630726
train,6,2.5385593776754294,2.1593913668892135,-0.14936345949623672,0.00017991913746630728
val,6,2.8029498350925937,2.342366019884745,-0.16432110537313038,0.00017991913746630728
train,7,2.564218418938773,2.1770884605109533,-0.15097386227653617,0.00020991913746630725
val,7,2.817028760910034,2.3437147660133166,-0.1680188720344533,0.00020991913746630725
train,8,2.5658623802694027,2.167879571811851,-0.15510684108310036,0.00023991913746630725
val,8,2.7871573521540713,2.325079077329391,-0.16578837017133616,0.00023991913746630725
train,9,2.545118118232151,2.1439947162998334,-0.15760502393143924,0.00026991913746630725
val,9,2.7844139826603427,2.312797818428431,-0.16937717134336122,0.00026991913746630725
train,10,2.5434333567992056,2.137897910454845,-0.15944410151744975,0.0002999191374663072
val,10,2.7856628619707546,2.310402912971301,-0.17060928495245994,0.0002999191374663072
train,11,2.570658185090016,2.156253439075542,-0.16120569759840042,0.0002999182043388158
val,11,2.7898104710456653,2.3027976751327515,-0.1745684163735946,0.0002999182043388158
train,12,2.5502115619793093,2.1316026484548565,-0.16414673973148944,0.00029967203222574607
val,12,2.7858594289192786,2.302684582196749,-0.17343834427064683,0.00029967203222574607
train,13,2.5526403783145297,2.134569369557733,-0.16377983060537613,0.0002992617829860455
val,13,2.8050393599730272,2.3166758036002135,-0.17410221166290862,0.0002992617829860455
train,14,2.529132349793159,2.107975032772979,-0.16652245069524477,0.0002986879564452187
val,14,2.8187429201908603,2.3212238336220765,-0.1765038886678946,0.0002986879564452187
train,15,2.5181010939040274,2.096457567819045,-0.1674450351122608,0.00029795125172251444
val,15,2.7971306152832813,2.301938607142522,-0.17703571132326568,0.00029795125172251444
train,16,2.5381477692056538,2.1110039621671897,-0.16828957408265646,0.00029705256637915664
val,16,2.784082904840127,2.280086489824148,-0.18102780421509046,0.00029705256637915664
train,17,2.581143597386918,2.1450402299670195,-0.16895742176506498,0.00029599299532480437
val,17,2.803500438347841,2.2919331116554065,-0.18247449499023843,0.00029599299532480437
train,18,2.550271141561215,2.116787290316065,-0.16997559364600806,0.00029477382948357294
val,18,2.8145151077172694,2.3051184049019446,-0.18098915206338126,0.00029477382948357294
train,19,2.5563164171825523,2.118138128856443,-0.17141003569857294,0.00029339655422124173
val,19,2.7898692045456324,2.280796992473113,-0.18247171273946103,0.00029339655422124173
train,20,2.5347065880613506,2.10036623702859,-0.17135725021528525,0.00029186284753556494
val,20,2.7893062432607016,2.286476303369571,-0.18027061069612843,0.00029186284753556494
train,21,2.566782283011794,2.1257325757867243,-0.17182980813922155,0.00029017457801188963
val,21,2.8095919352311354,2.291672605734605,-0.18433969823234245,0.00029017457801188963
train,22,2.5765539822231407,2.1344567463404407,-0.17158469759723144,0.0002883338025465725
val,22,2.8036669125923743,2.2885933197461643,-0.18371426025424464,0.0002883338025465725
train,23,2.5421807586022145,2.1055601430389115,-0.17175042100600796,0.00028634276384096826
val,23,2.8224239899561954,2.3026356391417675,-0.1841638083661892,0.00028634276384096826
train,24,2.519044512687025,2.0821727315049285,-0.17342757501180164,0.00028420388766904365
val,24,2.8168389674944754,2.302601355772752,-0.18255839884916394,0.00028420388766904365
train,25,2.536689998004636,2.096740428328193,-0.1734345032394608,0.0002819197799219456
val,25,2.8082714814406176,2.2897401375648303,-0.18464430782517702,0.0002819197799219456
train,26,2.530218097077547,2.0907056839318288,-0.1737053472399727,0.0002794932234331241
val,26,2.7929381346091247,2.281832374059237,-0.18299931323807056,0.0002794932234331241
train,27,2.55508125278185,2.110610182715876,-0.17395574781899995,0.00027692717458787844
val,27,2.780756268745814,2.2741969457039466,-0.1821660275426934,0.00027692717458787844
train,28,2.5797631785554707,2.128533787483154,-0.1749111681348135,0.00027422475972145696
val,28,2.780349386044038,2.268096532577123,-0.1842404613025138,0.00027422475972145696
train,29,2.5188616713423615,2.0793246895155173,-0.17449826118978753,0.00027138927131009936
val,29,2.8035145845168676,2.2931817861703725,-0.1820332239985266,0.00027138927131009936
train,30,2.538582763260587,2.0942834165861024,-0.17501865730145474,0.0002684241639596613
val,30,2.830231635998457,2.3146693859344873,-0.18216256348293136,0.0002684241639596613
train,31,2.5466213952498937,2.0967552832194736,-0.17665213716869596,0.0002653330501967096
val,31,2.811122790361062,2.2928608533663626,-0.18436118791101744,0.0002653330501967096
train,32,2.526039727614575,2.081620633441483,-0.17593511666294034,0.00026211969606721483
val,32,2.8103543367141333,2.289203961690267,-0.1854393832890109,0.00026211969606721483
train,33,2.5404910475738607,2.0898479091510618,-0.1773842654762188,0.0002587880165482045
val,33,2.8106062565094385,2.3010639257920094,-0.18129267645986186,0.0002587880165482045
train,34,2.5262631168262657,2.0803367140479487,-0.1765162147237191,0.00025534207077796653
val,34,2.7831395192024035,2.270316866727976,-0.18426049033337474,0.00025534207077796653
train,35,2.5480605505226115,2.0978228470707196,-0.17669819634370437,0.0002517860571106149
val,35,2.803806097079546,2.2842447390923133,-0.1853057379853798,0.0002517860571106149
train,36,2.5159724047884464,2.070760496221784,-0.17695420971999798,0.0002481243080010413
val,36,2.7923829158147178,2.2726597082920565,-0.18612175449835272,0.0002481243080010413
train,37,2.5542064901953436,2.099948581659569,-0.17784697920058667,0.00024436128472648643
val,37,2.8126815129549074,2.2831249206494064,-0.18827463751811946,0.00024436128472648643
train,38,2.5446718076490007,2.09080879996729,-0.17835817032178716,0.00024050157195116108
val,38,2.799843219610361,2.287487745285034,-0.18299434437497847,0.00024050157195116108
train,39,2.5593733880719083,2.102235846442354,-0.17861307137132376,0.00023654987214053892
val,39,2.7975282791333322,2.2768827432241197,-0.1861091234689886,0.00023654987214053892
train,40,2.5358758470761487,2.0821342368652878,-0.1789289529824666,0.00023251099983212636
