type,epoch,loss,loss_lora,rel_change,lr
train,1,2.55225079335935,2.6996710718160046,0.05776089044235949,2.9919137466307274e-05
val,1,2.7949505127393284,2.4202842315038047,-0.1340511324003063,2.9919137466307274e-05
train,2,2.5133761231790013,2.156614644508156,-0.14194512129748474,5.991913746630727e-05
val,2,2.807078074186276,2.3479080016796408,-0.16357581099333718,5.991913746630727e-05
train,3,2.5556362648858535,2.1435020956389024,-0.16126479926334858,8.991913746630726e-05
val,3,2.790940834925725,2.3023387163113327,-0.17506717179384257,8.991913746630726e-05
train,4,2.573131771421818,2.1356781631145836,-0.17000824177205417,0.00011991913746630727
val,4,2.8107777344874845,2.3064237160560412,-0.17943575268978243,0.00011991913746630727
train,5,2.5491544808338915,2.1106921623980583,-0.17200303933420358,0.00014991913746630726
val,5,2.7990905321561375,2.294856743934827,-0.1801420077088038,0.00014991913746630726
train,6,2.5666379356641333,2.1245073337117937,-0.17226060435280507,0.00017991913746630728
val,6,2.8029498350925937,2.2762040358323317,-0.18792551784747202,0.00017991913746630728
train,7,2.512396831718095,2.0748163635197354,-0.17416853208619978,0.00020991913746630725
val,7,2.817028760910034,2.2774401903152466,-0.19154528277534336,0.00020991913746630725
train,8,2.562186966045205,2.1474957835642154,-0.16185047694668234,0.00023991913746630725
val,8,2.7871573521540713,2.341912031173706,-0.15974889994504787,0.00023991913746630725
train,9,2.520511814526149,nan,nan,0.00026991913746630725
val,9,2.7844139826603427,nan,nan,0.00026991913746630725
train,10,2.5363996938232463,nan,nan,0.0002999191374663072
val,10,2.7856628619707546,nan,nan,0.0002999191374663072
train,11,2.5711042315490804,nan,nan,0.0002999182043388158
val,11,2.7898104710456653,nan,nan,0.0002999182043388158
train,12,2.543261990714266,nan,nan,0.00029967203222574607
val,12,2.7858594289192786,nan,nan,0.00029967203222574607
train,13,2.5229934630689597,nan,nan,0.0002992617829860455
val,13,2.8050393599730272,nan,nan,0.0002992617829860455
train,14,2.5405319366814956,nan,nan,0.0002986879564452187
val,14,2.8187429201908603,nan,nan,0.0002986879564452187
train,15,2.5263039738020163,nan,nan,0.00029795125172251444
val,15,2.7971306152832813,nan,nan,0.00029795125172251444
train,16,2.5344259517212118,nan,nan,0.00029705256637915664
val,16,2.784082904840127,nan,nan,0.00029705256637915664
train,17,2.5435285163375565,nan,nan,0.00029599299532480437
val,17,2.803500438347841,nan,nan,0.00029599299532480437
train,18,2.5361514669865612,nan,nan,0.00029477382948357294
val,18,2.8145151077172694,nan,nan,0.00029477382948357294
train,19,2.5630769061271073,nan,nan,0.00029339655422124173
val,19,2.7898692045456324,nan,nan,0.00029339655422124173
train,20,2.5318284609889727,nan,nan,0.00029186284753556494
val,20,2.7893062432607016,nan,nan,0.00029186284753556494
train,21,2.5304531475925702,nan,nan,0.00029017457801188963
val,21,2.8095919352311354,nan,nan,0.00029017457801188963
train,22,2.5249569149351507,nan,nan,0.0002883338025465725
val,22,2.8036669125923743,nan,nan,0.0002883338025465725
