type,epoch,loss,loss_lora,rel_change,lr
train,1,2.533166902405875,2.355150367693117,-0.07027430152497526,2.9919137466307274e-05
val,1,2.7949505127393284,2.4303753070342236,-0.13044066578044167,2.9919137466307274e-05
train,2,2.533798180500452,2.1944175752989366,-0.13394145114370715,5.991913746630727e-05
val,2,2.807078074186276,2.3735561768213906,-0.15443884562795993,5.991913746630727e-05
train,3,2.5146709696623195,2.1241121806224403,-0.15531208406653896,8.991913746630726e-05
val,3,2.790940834925725,2.3134655218857985,-0.1710804138392398,8.991913746630726e-05
train,4,2.583885188693949,2.1597575328420757,-0.16414338288236902,0.00011991913746630727
val,4,2.8107777344874845,2.317618244733566,-0.1754530369665964,0.00011991913746630727
train,5,2.5338583333151683,2.1104125799837137,-0.16711500708780364,0.00014991913746630726
val,5,2.7990905321561375,2.2925239770840378,-0.18097540942410742,0.00014991913746630726
train,6,2.5391429113249253,2.108438430449391,-0.16962593123629768,0.00017991913746630728
val,6,2.8029498350925937,2.286575824786455,-0.1842252058317984,0.00017991913746630728
train,7,2.537099891917082,2.1027755004697735,-0.17118931455202757,0.00020991913746630725
val,7,2.817028760910034,2.2882508008908005,-0.1877076895190851,0.00020991913746630725
train,8,2.541267191303387,2.1066848518392147,-0.1710100932917958,0.00023991913746630725
val,8,2.7871573521540713,2.274509289325812,-0.18393222845206653,0.00023991913746630725
train,9,2.5144956407521293,2.081358219092747,-0.17225618316435956,0.00026991913746630725
val,9,2.7844139826603427,2.2842020224302244,-0.1796471226423721,0.00026991913746630725
train,10,2.5880459868361685,2.1443497697619414,-0.17144062328530582,0.0002999191374663072
val,10,2.7856628619707546,2.288506492590293,-0.1784696835239932,0.0002999191374663072
train,11,2.5407037725345787,2.102488841650621,-0.17247777392277389,0.0002999182043388158
val,11,2.7898104710456653,2.2744260353919787,-0.18473815372142907,0.0002999182043388158
train,12,2.5499926310665204,2.106349073330347,-0.17397836853772475,0.00029967203222574607
