type,epoch,loss,loss_lora,rel_change,lr
train,1,2.524244544962346,2.3549519992581596,-0.06706661842333965,2.9919137466307274e-05
val,1,2.7949505127393284,2.489851474761963,-0.10916080144772874,2.9919137466307274e-05
train,2,2.5403045778968583,2.2583528323314903,-0.11099131498585828,5.991913746630727e-05
val,2,2.807078074186276,2.440132682140057,-0.13072147704783385,5.991913746630727e-05
train,3,2.5483267246230916,2.226525957050992,-0.12627924216416772,8.991913746630726e-05
val,3,2.790940834925725,2.3966052409930105,-0.14129127676159028,8.991913746630726e-05
train,4,2.5472740375128073,2.209594627596297,-0.13256501065202425,0.00011991913746630727
val,4,2.8107777344874845,2.40176291954823,-0.14551659845627524,0.00011991913746630727
train,5,2.55933282124707,2.2057278580421387,-0.13816294632310944,0.00014991913746630726
val,5,2.7990905321561375,2.3801287901707187,-0.1496778104074729,0.00014991913746630726
train,6,2.554441013426151,2.195598255913213,-0.14047799719267717,0.00017991913746630728
val,6,2.8029498350925937,2.370777292129321,-0.15418490104693436,0.00017991913746630728
train,7,2.5390612600305973,2.1781487882619275,-0.14214405829827068,0.00020991913746630725
val,7,2.817028760910034,2.3702871677203055,-0.15858609588544278,0.00020991913746630725
train,8,2.559497891731982,2.1877098584753485,-0.1452581908575236,0.00023991913746630725
val,8,2.7871573521540713,2.3522496131750255,-0.15603989442609864,0.00023991913746630725
train,9,2.529440866969024,2.1589573747064223,-0.1464685326708365,0.00026991913746630725
val,9,2.7844139826603427,2.3550325295864005,-0.1542089128081786,0.00026991913746630725
train,10,2.5186542918418615,2.1461726751610275,-0.14788913980268514,0.0002999191374663072
val,10,2.7856628619707546,2.3521561408654237,-0.15562067004714303,0.0002999191374663072
train,11,2.547459642520812,2.1694303021598054,-0.14839463363860464,0.0002999182043388158
val,11,2.7898104710456653,2.3416270781786013,-0.16065012212068935,0.0002999182043388158
train,12,2.5532681177247247,2.1669095664654137,-0.1513192243999835,0.00029967203222574607
val,12,2.7858594289192786,2.3325192714348817,-0.16272901381110305,0.00029967203222574607
train,13,2.5319284660154278,2.14140420846862,-0.1542398463418628,0.0002992617829860455
val,13,2.8050393599730272,2.34705765125079,-0.16327104541115636,0.0002992617829860455
train,14,2.5434684795189417,2.1504184698480158,-0.15453307671627423,0.0002986879564452187
val,14,2.8187429201908603,2.3539281349915724,-0.1649014466235235,0.0002986879564452187
train,15,2.538370964340765,2.1408907155784958,-0.15658871549749942,0.00029795125172251444
val,15,2.7971306152832813,2.3356207609176636,-0.16499403061264553,0.00029795125172251444
train,16,2.53606729912308,2.140540978979229,-0.1559604984775507,0.00029705256637915664
val,16,2.784082904840127,2.31164943254911,-0.16969087790801476,0.00029705256637915664
train,17,2.574007128126859,2.168288279415141,-0.15762149384837382,0.00029599299532480437
val,17,2.803500438347841,2.328679145910801,-0.1693672973765831,0.00029599299532480437
train,18,2.5364441376812055,2.1366920361943,-0.15760335327248925,0.00029477382948357294
