type,epoch,loss,loss_lora,rel_change,lr
train,1,2.55180491752059,2.345508918607974,-0.0808431700621768,2.9919137466307274e-05
val,1,2.7949505127393284,2.43034604879526,-0.13045113402981862,2.9919137466307274e-05
train,2,2.54410079868656,2.2086395690383296,-0.13185846638679508,5.991913746630727e-05
val,2,2.807078074186276,2.385233142437079,-0.15027901632963403,5.991913746630727e-05
train,3,2.5489213546974,2.186752093448793,-0.14208726392486226,8.991913746630726e-05
val,3,2.790940834925725,2.362227280934652,-0.1536089725106919,8.991913746630726e-05
train,4,2.539800404859682,2.1677755776120002,-0.14647797777173563,0.00011991913746630727
val,4,2.8107777344874845,2.3674220396922183,-0.15773417063733336,0.00011991913746630727
train,5,2.5457427749093973,2.166799748361593,-0.14885361957328583,0.00014991913746630726
val,5,2.7990905321561375,2.3383500484319835,-0.16460363765699493,0.00014991913746630726
train,6,2.5793661528199188,2.19052303897724,-0.15075142139768413,0.00017991913746630728
val,6,2.8029498350925937,2.3402196138333053,-0.16508687221796187,0.00017991913746630728
train,7,2.6055832432929398,2.2132891564356347,-0.1505590304462978,0.00020991913746630725
val,7,2.817028760910034,2.345803425862239,-0.16727743130871234,0.00020991913746630725
train,8,2.561170138438757,2.171836419568229,-0.15201400056454623,0.00023991913746630725
val,8,2.7871573521540713,2.332336404384711,-0.16318452469784292,0.00023991913746630725
train,9,2.5227480429523395,2.1322173313953163,-0.15480369220700696,0.00026991913746630725
val,9,2.7844139826603427,2.328999406252152,-0.1635585007273484,0.00026991913746630725
train,10,2.542122068430857,2.147489052255841,-0.15523763436686808,0.0002999191374663072
val,10,2.7856628619707546,2.324092531815553,-0.1656949720859822,0.0002999191374663072
train,11,2.53621163008348,2.13838412433943,-0.15685895491732096,0.0002999182043388158
val,11,2.7898104710456653,2.3226809868445764,-0.16744129719536158,0.0002999182043388158
train,12,2.557388134079802,2.1568593557954157,-0.15661634342747285,0.00029967203222574607
val,12,2.7858594289192786,2.3184408377378416,-0.1677825472201816,0.00029967203222574607
train,13,2.557677491013252,2.1530617928569207,-0.15819652773971835,0.0002992617829860455
val,13,2.8050393599730272,2.336949189503988,-0.16687472452206178,0.0002992617829860455
train,14,2.553835297209233,2.1482451071315056,-0.15881611101583026,0.0002986879564452187
val,14,2.8187429201908603,2.3408711965267477,-0.16953363154939838,0.0002986879564452187
train,15,2.5316784426851093,2.1272311451621455,-0.15975460813025102,0.00029795125172251444
val,15,2.7971306152832813,2.3218685510831003,-0.1699105725000434,0.00029795125172251444
train,16,2.5408218404996106,2.13103053865407,-0.1612829736086343,0.00029705256637915664
val,16,2.784082904840127,2.302343655855228,-0.17303337057506282,0.00029705256637915664
train,17,2.546428947114559,2.1338046461424094,-0.16204037479219968,0.00029599299532480437
val,17,2.803500438347841,2.316570291152367,-0.17368648869640677,0.00029599299532480437
train,18,2.559141453706993,2.144677010829237,-0.1619544876182566,0.00029477382948357294
